"NCM"|"EX"|"DESCRIÇÃO"|"AL_IPI"|"CST_IPI_ENTRADA"|"CST_IPI_SAÍDA"|"CST_PIS_COFINS_ENTRADA"|"CST_PIS_COFINS_SAÍDA"|"CÓDIGO_JUSTIFICATIVA_ENQUADRAMENTO_PIS_COFINS"
"03021200"|""|"Peixes frescos ou refrigerados, exceto os filés de peixes e outra carne de peixes da posição 03.04 - Salmonídeos, exceto os fígados, ovas e sêmen - Salmões-do-pacífico (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou e Oncorhynchus rhodurus), salmões-do-atlântico (Salmo salar) e salmões-do-danúbio (Hucho hucho)"|0|"01"|"51"|""|""|""
"03021900"|""|"Peixes frescos ou refrigerados, exceto os filés de peixes e outra carne de peixes da posição 03.04 - Salmonídeos, exceto os fígados, ovas e sêmen - Outros"|0|"01"|"51"|""|""|""
"03022100"|""|"Peixes frescos ou refrigerados, exceto os filés de peixes e outra carne de peixes da posição 03.04 - Peixes chatos (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae e Citharidae), exceto os fígados, ovas e sêmen - Linguados-gigantes (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis)"|0|"01"|"51"|""|""|""
"03022200"|""|"Peixes frescos ou refrigerados, exceto os filés de peixes e outra carne de peixes da posição 03.04 - Peixes chatos (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae e Citharidae), exceto os fígados, ovas e sêmen - Solhas ou patruças (Pleuronectes platessa)"|0|"01"|"51"|""|""|""
"03022300"|""|"Peixes frescos ou refrigerados, exceto os filés de peixes e outra carne de peixes da posição 03.04 - Peixes chatos (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae e Citharidae), exceto os fígados, ovas e sêmen - Linguados (Solea spp.)"|0|"01"|"51"|""|""|""
"03022900"|""|"Peixes frescos ou refrigerados, exceto os filés de peixes e outra carne de peixes da posição 03.04 - Peixes chatos (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae e Citharidae), exceto os fígados, ovas e sêmen - Outros"|0|"01"|"51"|""|""|""
"03023100"|""|"Peixes frescos ou refrigerados, exceto os filés de peixes e outra carne de peixes da posição 03.04 - Atuns (do gênero Thunnus), bonitos-listrados ou bonitos-de-ventre-raiado (Euthynnus (Katsuwonus) pelamis), exceto os fígados, ovas e sêmen - Atuns-brancos ou germões (Thunnus alalunga)"|0|"01"|"51"|""|""|""
"03023200"|""|"Peixes frescos ou refrigerados, exceto os filés de peixes e outra carne de peixes da posição 03.04 - Atuns (do gênero Thunnus), bonitos-listrados ou bonitos-de-ventre-raiado (Euthynnus (Katsuwonus) pelamis), exceto os fígados, ovas e sêmen - Albacoras ou atuns-de-barbatanas-amarelas (Thunnus albacares)"|0|"01"|"51"|""|""|""
"03023300"|""|"Peixes frescos ou refrigerados, exceto os filés de peixes e outra carne de peixes da posição 03.04 - Atuns (do gênero Thunnus), bonitos-listrados ou bonitos-de-ventre-raiado (Euthynnus (Katsuwonus) pelamis), exceto os fígados, ovas e sêmen - Bonitos-listrados ou bonitos-de-ventre-raiado"|0|"01"|"51"|""|""|""
"03023400"|""|"Peixes frescos ou refrigerados, exceto os filés de peixes e outra carne de peixes da posição 03.04 - Atuns (do gênero Thunnus), bonitos-listrados ou bonitos-de-ventre-raiado (Euthynnus (Katsuwonus) pelamis), exceto os fígados, ovas e sêmen - Albacoras-bandolim (Thunnus obesus)"|0|"01"|"51"|""|""|""
