"NCM"|"EX"|"DESCRIÇÃO"|"AL_IPI"|"CST_IPI_ENTRADA"|"CST_IPI_SAÍDA"|"CST_PIS_COFINS_ENTRADA"|"CST_PIS_COFINS_SAÍDA"|"CÓDIGO_JUSTIFICATIVA_ENQUADRAMENTO_PIS_COFINS"
"02031900"|""|"Carnes de animais da espécie suína, frescas, refrigeradas ou congeladas - Frescas ou refrigeradas - Outras"|0|"01"|"51"|"72"|"09"|"209"
"02032100"|""|"Carnes de animais da espécie suína, frescas, refrigeradas ou congeladas - Congeladas - Carcaças e meias-carcaças"|0|"01"|"51"|"72"|"09"|"209"
"02032200"|""|"Carnes de animais da espécie suína, frescas, refrigeradas ou congeladas - Congeladas - Pernas, pás e respectivos pedaços, não desossados"|0|"01"|"51"|"72"|"09"|"209"
"02032900"|""|"Carnes de animais da espécie suína, frescas, refrigeradas ou congeladas - Congeladas - Outras"|0|"01"|"51"|"72"|"09"|"209"
"02041000"|""|"Carnes de animais das espécies ovina ou caprina, frescas, refrigeradas ou congeladas - Carcaças e meias-carcaças de cordeiro, frescas ou refrigeradas"|0|"01"|"51"|""|""|""
"02042100"|""|"Carnes de animais das espécies ovina ou caprina, frescas, refrigeradas ou congeladas - Outras carnes de animais da espécie ovina, frescas ou refrigeradas - Carcaças e meias-carcaças"|0|"01"|"51"|""|""|""
"02042200"|""|"Carnes de animais das espécies ovina ou caprina, frescas, refrigeradas ou congeladas - Outras carnes de animais da espécie ovina, frescas ou refrigeradas - Outras peças não desossadas"|0|"01"|"51"|""|""|""
"02042300"|""|"Carnes de animais das espécies ovina ou caprina, frescas, refrigeradas ou congeladas - Outras carnes de animais da espécie ovina, frescas ou refrigeradas - Desossadas"|0|"01"|"51"|""|""|""
"02043000"|""|"Carnes de animais das espécies ovina ou caprina, frescas, refrigeradas ou congeladas - Carcaças e meias-carcaças de cordeiro, congeladas"|0|"01"|"51"|""|""|""
"02044100"|""|"Carnes de animais das espécies ovina ou caprina, frescas, refrigeradas ou congeladas - Outras carnes de animais da espécie ovina, congeladas - Carcaças e meias-carcaças"|0|"01"|"51"|""|""|""
"02044200"|""|"Carnes de animais das espécies ovina ou caprina, frescas, refrigeradas ou congeladas - Outras carnes de animais da espécie ovina, congeladas - Outras peças não desossadas"|0|"01"|"51"|""|""|""
