"NBS"|"DESCRIÇÃO"|"AL_IBPT_NACIONAL"|"AL_IBPT_INTERNACIONAL"
"109043200"|"Serviços de resseguros de transportes ferroviários, aquaviários e aéreos"|17.47|18.07
"109043300"|"Serviços de resseguros de cargas"|17.47|18.07
"109043400"|"Serviços de resseguros de outras propriedades"|17.47|18.07
"109043500"|"Serviços de resseguros de responsabilidade civil"|17.47|18.07
"109043600"|"Serviços de resseguros de crédito e caução"|17.47|18.07
"109043900"|"Outros serviços de resseguros"|17.47|18.07
"109051100"|"Serviços de corretagem de títulos"|17.80|18.40
"109051200"|"Serviços de corretagem de derivativos e commodities"|17.80|18.40
"109051300"|"Serviços de compensação de transações financeiras, inclusive com ativos financeiros (clearinghouse)"|17.80|18.40
"109052000"|"Serviços de gestão e administração de carteiras de ativos, exceto fundos de pensão"|17.80|18.40
"109053000"|"Serviços de guarda e custódia"|17.80|18.40
"109054000"|"Serviços relacionados à administração de mercados financeiros"|17.80|18.40
"109059100"|"Serviços de consultoria financeira"|17.80|18.40
"109059200"|"Serviços de câmbio"|18.27|18.87
"109059300"|"Serviços de classificação de risco (rating)"|17.80|18.40
"109059400"|"Serviços fiduciários"|17.80|18.40
"109059900"|"Outros serviços auxiliares aos serviços financeiros não classificados em outra posição"|17.80|18.40
"109061100"|"Serviços de agenciamento e corretagem de seguros e previdência complementar"|17.80|18.40
"109061200"|"Serviços de corretagem de planos privados de assistência à saúde"|17.80|18.40
"109062000"|"Serviços de perícia e avaliação de seguros"|17.80|18.40
"109063000"|"Serviços atuariais"|17.80|18.40
"109064000"|"Serviços de gestão de fundos de previdência complementar"|17.80|18.40
"109069000"|"Outros serviços auxiliares a seguros, previdência complementar e planos privados de assistência à saúde"|17.80|18.40
"109070000"|"Securitização de recebíveis"|17.80|18.40
"109080000"|"Fomento comercial (factoring)"|17.72|18.32
"110011100"|"Serviços de administração e locação de imóveis residenciais"|17.85|18.45
"110011210"|"Serviços de administração de locação, sublocação, arrendamento, direito de passagem ou permissão de uso, compartilhado ou não, de ferrovia, rodovia, postes, cabos, dutos e condutos de qualquer natureza"|18.15|18.75
"110011290"|"Outros serviços de administração e locação de imóveis não residenciais"|18.13|18.73
"110012100"|"Compra e venda de imóveis residenciais"|17.85|18.45
"110012200"|"Compra e venda de imóveis não-residenciais"|17.85|18.45
"110013000"|"Serviços de avaliação de imóveis"|18.15|18.75
"110014000"|"Serviços de consultoria imobiliária"|17.85|18.45
"110015000"|"Serviços de assessoria de gestão condominial (condomínios, edifícios residenciais e mistos)"|17.85|18.45
"111011100"|"Arrendamento mercantil operacional ou locação de veículos rodoviários automotores para o transporte de até oito passageiros, sem operador"|17.85|18.45
"111011200"|"Arrendamento mercantil operacional ou locação de veículos rodoviários automotores para o transporte de mercadorias, sem operador"|17.85|18.45
"111011300"|"Arrendamento mercantil operacional ou locação de veículos e equipamentos ferroviários, sem operador"|17.85|18.45
"111011400"|"Arrendamento mercantil operacional ou locação de outros equipamentos de transporte terrestre, inclusive de veículos de uso misto, sem operador"|13.45|14.05
"111011500"|"Arrendamento mercantil operacional ou locação de navios e outras embarcações, sem tripulação"|17.85|18.45
"111011600"|"Arrendamento mercantil operacional ou locação de aeronaves, sem tripulação"|17.85|18.45
"111011700"|"Arrendamento mercantil operacional ou locação de contêineres"|17.85|18.45
"111012100"|"Arrendamento mercantil operacional ou locação de máquinas e equipamentos agrícolas, sem operador"|16.76|17.36
"111012200"|"Arrendamento mercantil operacional ou locação de máquinas e equipamentos de construção, sem operador"|16.76|17.36
"111012300"|"Arrendamento mercantil operacional ou locação de máquinas e equipamentos para escritórios, exceto computadores, sem operador"|16.76|17.36
"111012400"|"Arrendamento mercantil operacional ou locação de computadores, sem operador"|16.76|17.36
"111012500"|"Arrendamento mercantil operacional ou locação de equipamentos de telecomunicação, sem operador"|16.76|17.36
"111012900"|"Arrendamento mercantil operacional ou locação de máquinas e equipamentos, não classificados em outra posição, sem operador"|16.76|17.36
"111021000"|"Arrendamento mercantil operacional ou locação de televisão e outros eletroeletrônicos domésticos, bem como seus acessórios"|16.76|17.36
"111022000"|"Arrendamento mercantil operacional ou locação de mídias gravadas"|16.76|17.36
"111023000"|"Arrendamento mercantil    operacional  ou  locação  de  móveis e eletrodomésticos"|16.76|17.36
"111024000"|"Arrendamento mercantil operacional ou locação de equipamentos para diversão e lazer"|16.76|17.36
"111025000"|"Arrendamento mercantil operacional ou locação de artigos de cama, mesa e banho"|16.76|17.36
"111026000"|"Arrendamento mercantil operacional ou locação de roupas e calçados"|16.76|17.36
"111029000"|"Arrendamento mercantil operacional ou locação de outras mercadorias não classificadas em outra posição"|16.76|17.36
"111031000"|"Licenciamento de direitos de obras literárias"|16.76|17.36
"111032100"|"Licenciamento de direitos de produção, distribuição ou comercialização de programas de computador"|16.37|16.97
"111032200"|"Licenciamento de direitos de uso de programas de computador"|16.37|16.97
"111032900"|"Licenciamento de outros direitos sobre programas de computador"|16.37|16.97
"111033100"|"Licenciamento de direitos de autor de obras cinematográficas"|18.29|18.89
"111033200"|"Licenciamento de direitos de autor de obras jornalísticas"|18.29|18.89
"111033300"|"Licenciamento de direitos de autor de obras publicitárias"|18.29|18.89
"111033400"|"Licenciamento de direitos conexos de artistas intérpretes ou executantes em obras audiovisuais"|18.29|18.89
"111033500"|"Licenciamento de direitos conexos de produtores de obras audiovisuais"|18.29|18.89
"111033911"|"Licenciamento de direitos de obras audiovisuais sobre transmissões de eventos esportivos"|18.29|18.89
"111033912"|"Licenciamento de direitos de obras audiovisuais sobre transmissões de programas televisivos"|18.29|18.89
"111033919"|"Licenciamento de direitos   de  obras  audiovisuais sobre outras transmissões televisivas"|18.29|18.89
"111033990"|"Licenciamento de direitos de outras obras audiovisuais"|18.29|18.89
"111034100"|"Licenciamento de direitos de autor de obras musicais ou literomusicais"|18.29|18.89
"111034200"|"Licenciamento de direitos conexos de artistas intérpretes ou executantes"|18.29|18.89
"111034300"|"Licenciamento de direitos conexos de produtores de fonogramas"|18.29|18.89
"111035000"|"Licenciamento de direitos relacionados à radiodifusão"|18.29|18.89
"111039100"|"Licenciamento de outros direitos de autor"|18.29|18.89
"111039200"|"Licenciamento de outros direitos conexos"|18.29|18.89
"111041000"|"Cessão temporária de direitos de obras literárias"|18.29|18.89
"111042000"|"Cessão temporária de direitos sobre programas de computador"|18.29|18.89
"111043100"|"Cessão temporária de direitos de autor de obras cinematográficas"|18.29|18.89
"111043200"|"Cessão temporária de direitos de autor de obras jornalísticas"|18.29|18.89
"111043300"|"Cessão temporária de direitos de autor de obras publicitárias"|18.29|18.89
"111043400"|"Cessão temporária de direitos conexos de artistas intérpretes ou executantes em obras audiovisuais"|18.29|18.89
"111043500"|"Cessão temporária de direitos conexos de produtores de obras audiovisuais"|18.29|18.89
"111043911"|"Cessão temporária de direitos de obras audiovisuais sobre transmissões de eventos esportivos"|18.29|18.89
"111043912"|"Cessão temporária de direitos de obras audiovisuais sobre transmissões de programas televisivos"|18.29|18.89
"111043919"|"Cessão temporária de direitos de obras audiovisuais sobre outras transmissões televisivas"|18.29|18.89
"111043990"|"Cessão temporária de direitos de outras obras audiovisuais"|18.29|18.89
"111044100"|"Cessão temporária de direitos de autor de obras musicais e literomusicais"|18.29|18.89
"111044200"|"Cessão temporária de direitos conexos de artistas intérpretes ou executantes"|18.29|18.89
"111044300"|"Cessão temporária de direitos conexos de produtores de fonogramas"|18.29|18.89
"111045000"|"Cessão temporária de direitos relacionados à radiodifusão"|18.29|18.89
"111049100"|"Cessão temporária de outros direitos de autor"|18.29|18.89
"111049200"|"Cessão temporária de outros direitos conexos"|18.37|18.97
"111051000"|"Licenciamento de direitos sobre patentes"|18.29|18.89
"111052000"|"Licenciamento de direitos sobre marcas"|18.29|18.89
"111053000"|"Licenciamento de direitos sobre desenho industrial"|18.29|18.89
"111059000"|"Licenciamento de outros direitos sobre a propriedade industrial"|18.29|18.89
"111060000"|"Licenciamento de direitos sobre cultivares"|18.29|18.89
"111070000"|"Licenciamento de direitos sobre topografias de circuitos integrados"|18.29|18.89
"111080000"|"Licenciamento de direitos relativos à informação não divulgada"|18.29|18.89
"111090000"|"Licenciamento de outros direitos de propriedade intelectual não classificados em nenhuma das posições anteriores"|18.29|18.89
"111101000"|"Contratos de prestação de serviços de assistência técnica e científica, combinadamente ou não, com qualquer modalidade de transferência de tecnologia"|18.37|18.97
"111102000"|"Contratos de fornecimento de tecnologia (know-how)"|18.37|18.97
"111103000"|"Contratos de franquia"|18.37|18.97
"111109000"|"Outros contratos de transferência de tecnologia"|18.37|18.97
"111111000"|"Exploração de recursos vegetais, inclusive florestais"|18.32|18.92
"111112000"|"Exploração de recursos minerais"|18.32|18.92
"111121000"|"Licenciamento de direitos sobre conhecimento tradicional associado a recursos genéticos"|18.29|18.89
"111129000"|"Licenciamento de direitos sobre outros conhecimentos tradicionais"|18.29|18.89
"111130000"|"Licenciamento de direitos relativos ao acesso a recursos genéticos, exceto os decorrentes do conhecimento tradicional"|18.29|18.89
"112011100"|"Serviços de pesquisa e desenvolvimento em física"|17.13|17.73
"112011200"|"Serviços de pesquisa e desenvolvimento em química e biologia"|17.79|18.39
"112011900"|"Serviços de pesquisa e desenvolvimento em outras ciências naturais e exatas"|17.13|17.73
"112012100"|"Serviços de pesquisa e desenvolvimento em biotecnologia"|17.13|17.73
"112012200"|"Serviços de pesquisa e desenvolvimento em tecnologia da informação e comunicação (TIC)"|17.13|17.73
"112012300"|"Serviços de pesquisa e desenvolvimento em nanotecnologia"|17.13|17.73
"112012400"|"Serviços de pesquisa e desenvolvimento em engenharia e tecnologia nucleares"|17.13|17.73
"112012500"|"Serviços de pesquisa e desenvolvimento em engenharia e tecnologia em microondas de potência"|17.13|17.73
"112012900"|"Outros serviços de pesquisa e desenvolvimento em outros ramos da engenharia e tecnologia"|17.13|17.73
"112013000"|"Serviços de pesquisa e desenvolvimento em      ciências médica, odontológica e farmacêutica"|17.13|17.73
"112014000"|"Serviços de pesquisa e desenvolvimento em ciências agrícolas"|17.13|17.73
"112019100"|"Pesquisa tecnológica utilizando documentos de patentes"|17.13|17.73
"112019900"|"Outros serviços de pesquisa e desenvolvimento em ciências naturais e engenharia"|17.13|17.73
"112021100"|"Serviços de pesquisa e desenvolvimento em psicologia"|17.13|17.73
"112021200"|"Serviços de pesquisa e desenvolvimento em economia"|17.13|17.73
"112021300"|"Serviços de pesquisa e desenvolvimento em direito"|17.13|17.73
"112021900"|"Serviços de pesquisa e desenvolvimento em outras ciências sociais"|17.13|17.73
"112022000"|"Serviços de pesquisa e desenvolvimento em humanidades"|17.13|17.73
"112030000"|"Serviços de pesquisa e desenvolvimento interdisciplinar"|17.13|17.73
"113011000"|"Serviços de representação e consultoria jurídica criminal"|18.45|19.05
"113012000"|"Serviços de representação e consultoria jurídica em outras áreas do direito"|18.45|19.05
"113013000"|"Serviços de documentação e certificação, exceto os serviços notariais e de registro"|18.45|19.05
"113014100"|"Serviços de arbitragem, conciliação e mediação"|18.45|19.05
"113014900"|"Outros serviços jurídicos não classificados em outra posição"|18.45|19.05
"113021100"|"Serviços de auditoria contábil"|18.45|19.05
"113021900"|"Outros serviços de auditoria"|18.45|19.05
"113022100"|"Serviços de contabilidade"|18.45|19.05
"113022200"|"Serviços de escrituração mercantil"|18.45|19.05
"113022300"|"Serviços de folha de pagamento"|18.45|19.05
"113022900"|"Outros serviços de contabilidade e escrituração mercantil"|18.33|18.93
"113031000"|"Serviços de consultoria tributária para pessoas jurídicas"|18.43|19.03
"113032000"|"Serviços de consultoria tributária para pessoas físicas"|18.43|19.03
"113040000"|"Serviços notariais e de registros"|17.85|18.45
"114011100"|"Serviços de consultoria gerencial estratégica"|17.78|18.38
"114011200"|"Serviços de consultoria gerencial financeira"|18.44|19.04
"114011300"|"Serviços de consultoria gerencial em recursos humanos"|18.43|19.03
"114011400"|"Serviços de consultoria gerencial em marketing"|18.43|19.03
"114011500"|"Serviços de consultoria gerencial operacional"|18.32|18.92
"114011600"|"Serviços de consultoria gerencial em energia"|18.43|19.03
"114011700"|"Serviços de consultoria em logística"|18.43|19.03
"114011800"|"Serviços gerenciais em processos de negócios"|18.21|18.81
"114011900"|"Outros serviços gerenciais e de consultoria gerencial"|18.43|19.03
"114012000"|"Serviços de relações públicas"|18.43|19.03
"114013100"|"Serviços de assessoria de imprensa"|18.41|19.01
"114013900"|"Outros serviços de comunicação social"|18.41|19.01
"114021100"|"Serviços de consultoria em arquitetura"|18.43|19.03
"114021200"|"Serviços arquitetônicos para projetos de construções residenciais"|18.43|19.03
"114021300"|"Serviços arquitetônicos para projetos de construções não residenciais"|18.43|19.03
"114021400"|"Serviços arquitetônicos para restauração de prédios históricos"|18.43|19.03
"114021900"|"Serviços de arquitetura relativos ao acompanhamento e fiscalização da execução de projetos arquitetônicos e urbanísticos"|18.11|18.71
"114022100"|"Serviços de planejamento urbano"|18.43|19.03
"114022200"|"Serviços de planejamento de áreas rurais"|18.43|19.03
"114023100"|"Serviços de consultoria de paisagismo"|18.43|19.03
"114023200"|"Serviços arquitetônicos de paisagismo"|18.43|19.03
"114031000"|"Serviços de consultoria de engenharia"|17.39|17.99
"114032110"|"Serviços de engenharia de projetos de construção residencial"|17.39|17.99
"114032120"|"Serviços de engenharia de projetos de construção não residencial"|17.39|17.99
"114032200"|"Serviços de engenharia de projetos industriais e de fabricação, exceto para projetos de energia"|17.39|17.99
"114032300"|"Serviços de engenharia para projetos de transportes"|17.39|17.99
"114032410"|"Serviços de engenharia para projetos de exploração de petróleo e gás"|17.39|17.99
"114032420"|"Serviços de engenharia para projetos de refino de petróleo e petroquímica"|17.39|17.99
"114032430"|"Serviços de engenharia para projetos de unidades de produção de biocombustíveis"|17.39|17.99
"114032440"|"Serviços de engenharia para projetos de energia elétrica"|17.39|17.99
"114032450"|"Serviços de engenharia para projetos de embarcações"|17.39|17.99
"114032490"|"Outros serviços de engenharia para projetos de energia"|17.39|17.99
"114032500"|"Serviços de engenharia de projetos de radiodifusão e televisão"|17.39|17.99
"114032600"|"(perigosos e não perigosos)"|17.39|17.99
"114032700"|"Serviços de engenharia de projetos de distribuição de água e rede de esgoto"|17.39|17.99
"114032800"|"Serviços de engenharia de projetos de telecomunicação"|17.39|17.99
"114032910"|"Serviços de engenharia de projetos aeroespaciais"|17.39|17.99
"114032990"|"Outros serviços de engenharia de projetos"|17.39|17.99
"114033000"|"Serviços de gerenciamento de projetos de construção"|17.39|17.99
"114039000"|"Outros serviços de engenharia"|17.39|17.99
"114041100"|"Serviços de consultoria geológica e geofísica"|17.90|18.50
"114041200"|"Serviços geofísicos"|17.90|18.50
"114041300"|"Serviços geoquímicos"|17.90|18.50
"114041400"|"Serviços de avaliação e exploração de recursos naturais"|17.90|18.50
"114041900"|"Outros serviços de prospecção"|17.90|18.50
"114042100"|"Serviços topográficos"|18.16|18.76
"114042200"|"Serviços cartográficos"|18.16|18.76
"114043000"|"Serviços meteorológicos e de previsão do tempo"|18.35|18.95
"114044100"|"Serviços de análise e de exames técnicos sobre pureza e composição"|18.16|18.76
"114044200"|"Serviços de análise e de exames técnicos de propriedades físicas"|18.16|18.76
"114044300"|"Serviços de análise e de exames técnicos de sistemas elétricos e mecânicos"|18.16|18.76
"114044400"|"Serviços de inspeção técnica de veículos de transporte rodoviários"|18.16|18.76
"114044900"|"Outros serviços de análise e de exames técnicos"|18.16|18.76
"114051010"|"Serviços hospitalares, com ou sem internação"|17.13|17.73
"114051090"|"Outros serviços veterinários para animais domésticos"|17.13|17.73
"114052010"|"Serviços hospitalares, com ou sem internação"|17.13|17.73
"114052090"|"Outros serviços veterinários para animais de corte"|17.13|17.73
"114053000"|"Serviços funerários, de cremação e de embalsamamento de animais"|17.13|17.73
"114059100"|"Serviços de bancos de órgãos, sangue, sêmen, tecidos, óvulos e outros materiais biológicos"|17.13|17.73
"114059200"|"Serviços de unidades de atendimento, assistência ou tratamento móvel"|17.13|17.73
"114059300"|"Planos de atendimento e assistência médico-veterinário"|17.13|17.73
"114059400"|"Serviços de guarda, tratamento, adestramento, embelezamento e alojamento (hotel veterinário)"|17.13|17.73
"114059900"|"Outros serviços veterinários"|17.13|17.73
"114061100"|"Serviços de campanhas publicitárias"|17.98|18.58
"114061200"|"Serviços de marketing direto e mala direta"|17.98|18.58
"114061900"|"Outros serviços de propaganda"|18.13|18.73
"114062000"|"Aquisição ou venda de espaço ou tempo para propaganda, sob comissão"|17.98|18.58
"114063100"|"Venda de espaço para propaganda em mídia impressa, exceto sob comissão"|17.98|18.58
"114063200"|"Venda de tempo para propaganda em rádio e televisão, exceto sob comissão"|17.98|18.58
"114063300"|"Venda de espaço para propaganda na rede mundial de computadores, exceto sob comissão"|17.98|18.58
"114063900"|"Venda de espaço ou tempo para propaganda em outros meios de comunicação publicitária, exceto sob comissão"|17.98|18.58
"114070000"|"Pesquisas de mercado e serviços de pesquisa de opinião pública"|18.43|19.03
"114081100"|"Serviços fotográficos de retratos"|18.45|19.05
"114081200"|"Serviços fotográficos para propaganda"|18.45|19.05
"114081300"|"Serviços fotográficos e videográficos de eventos"|18.16|18.76
"114081400"|"Serviços fotográficos especiais"|17.13|17.73
"114081900"|"Outros serviços fotográficos"|18.16|18.76
"114082000"|"Serviços de processamento de fotografias"|0|0
"114091110"|"Serviços de projetos (design) de espaços comerciais e públicos"|17.90|18.50
"114091190"|"Outros serviços de projeto (design) de interiores"|17.90|18.50
"114091200"|"Serviços de desenho industrial"|18.17|18.77
"114091310"|"Serviços de projetos (design) de marcas, imagens, objetos gráficos e digitais"|17.90|18.50
"114091320"|"Serviços de projetos (design) de embalagens, expositores de loja e objetos promocionais para comunicação e vendas"|17.90|18.50
"114091330"|"Serviços de projetos (design) de produtos, utensílios, equipamentos, vestuário, calçados, ornamentos, jóias e objetos pessoais"|17.90|18.50
"114091340"|"Serviços de projetos (design) de máquinas, equipamentos, acessórios e objetos de uso industrial de qualquer natureza"|17.90|18.50
"114091390"|"Outros serviços projetos (design) originais"|17.59|18.19
"114091900"|"Outros serviços especializados de projeto (design)"|17.94|18.54
"114092100"|"Serviços de consultoria ambiental"|17.90|18.50
"114092900"|"Outros serviços técnicos e científicos não classificados em outra posição"|18.43|19.03
"114093000"|"Compilação e coletânea de fatos e informações originais"|18.43|19.03
"114094000"|"Serviços de tradução e de intérpretes"|18.43|19.03
"114095000"|"Serviços para registros de marcas comerciais e de franquias empresariais, exceto as licenças de uso de direito"|17.85|18.45
"114099000"|"Outros serviços profissionais, técnicos e gerenciais não classificados em outra posição"|13.45|14.05
"115011000"|"Serviços de consultoria em tecnologia da informação (TI)"|18.13|18.73
"115012000"|"Serviços de segurança em tecnologia da informação (TI)"|18.13|18.73
"115013000"|"Serviços de suporte em tecnologia da informação (TI)"|16.81|17.41
"115021000"|"Serviços de projeto, desenvolvimento e instalação de aplicativos e programas não personalizados (não customizados)"|17.59|18.19
"115022000"|"Serviços de projeto e desenvolvimento, adaptação e instalação de aplicativos personalizados (customizados)"|17.59|18.19
"115023000"|"Serviços de projeto e desenvolvimento de estruturas e conteúdo de páginas eletrônicas"|18.16|18.76
"115024000"|"Serviços de projeto e desenvolvimento de estruturas e conteúdo de bancos de dados"|17.25|17.85
"115025000"|"Serviços de integração de sistemas em tecnologia da informação (TI)"|17.59|18.19
"115029000"|"Outros serviços de projeto e desenvolvimento de aplicativos"|17.00|17.60
"115030000"|"Serviços de projeto e desenvolvimento de redes em tecnologia da informação (TI)"|17.59|18.19
"115040000"|"Serviços de projeto e desenvolvimento de topografias de circuitos integrados"|17.59|18.19
"115050000"|"Serviços de projeto de circuitos integrados"|17.59|18.19
"115061000"|"Serviços de hospedagem de sítios na rede mundial de computadores"|17.59|18.19
"115062000"|"Serviços de hospedagem de aplicativos e programas"|17.59|18.19
"115069000"|"Outros serviços de infraestrutura para hospedagem em tecnologia da informação (TI)"|17.59|18.19
"115071000"|"Serviços de gerenciamento de redes"|17.59|18.19
"115072000"|"Serviços de gerenciamento de sistemas computacionais"|17.59|18.19
"115079000"|"Outros serviços de gerenciamento de infraestrutura de tecnologia da informação (TI)"|17.59|18.19
"115080000"|"Serviços de manutenção de aplicativos e programas"|17.59|18.19
"115090000"|"Serviços auxiliares de processamento de dados"|17.25|17.85
"115100000"|"Outros serviços de gerenciamento de tecnologia da informação (TI)"|17.59|18.19
"117011110"|"Local"|13.45|14.05
"117011120"|"Nacional"|13.45|14.05
"117011130"|"Internacional"|13.45|14.05
"117011210"|"Local"|13.45|14.05
"117011220"|"Nacional"|13.45|14.05
"117011230"|"Internacional"|13.45|14.05
"117011300"|"Serviços de valor adicionado sobre serviços de telecomunicações fixos"|13.45|14.05
"117011400"|"Serviços de gerência de redes fixas e administração de seus usuários"|13.45|14.05
"117011500"|"Serviços de interconexão pelo uso da rede fixa"|13.45|14.05
"117011900"|"Outros serviços de telecomunicações fixas"|13.45|14.05
"117012110"|"Local"|13.45|14.05
"117012120"|"Nacional"|13.45|14.05
"117012130"|"Internacional"|13.45|14.05
"117012210"|"Local"|13.45|14.05
"117012220"|"Nacional"|13.45|14.05
"117012230"|"Internacional"|13.45|14.05
"117012300"|"Serviços de valor adicionado sobre serviços de telecomunicações móveis"|13.45|14.05
"117012400"|"Serviços de gerência das redes móveis e administração de seus usuários"|13.45|14.05
"117012500"|"Serviços de interconexão pelo uso de rede móvel"|13.45|14.05
"117012610"|"Serviços de usuário visitante nacional (roaming nacional)"|13.45|14.05
"117012620"|"Serviços de usuário visitante internacional (roaming internacional)"|13.45|14.05
"117012700"|"Serviços nomádicos"|13.45|14.05
"117012900"|"Outros serviços de telecomunicações móveis"|13.45|14.05
"117013010"|"Serviços fixos de redes privativas"|13.45|14.05
"117013020"|"Serviços móveis, nomádicos de uso privativo"|13.45|14.05
"117013031"|"Serviços de interesse restrito de abrangência local"|13.45|14.05
"117013032"|"Serviços de interesse restrito de abrangência nacional"|13.45|14.05
"117013033"|"Serviços de interesse restrito de abrangência internacional"|13.45|14.05
"117013040"|"Serviços de valor adicionado sobre serviços de redes privadas ou de serviços de interesse restrito"|13.45|14.05
"117014010"|"Serviços de transmissão de dados local, nacional ou internacional"|13.45|14.05
"117014020"|"Serviços de exploração de linha dedicada local, nacional ou internacional"|13.45|14.05
"117015010"|"Serviços de distribuição de pacotes básicos de programação de televisão por assinatura"|13.45|14.05
"117015020"|"Serviços de distribuição de grades de programação especiais de televisão por assinatura"|13.45|14.05
"117015030"|"Serviços de distribuição de programação através do sistema “pague e assista” (pay-per-view) de televisão por assinatura"|13.45|14.05
"117015090"|"Outros serviços de distribuição de programação de televisão por assinatura, inclusive os “pacotes combinados”"|13.45|14.05
"117019000"|"Outros serviços de telecomunicações"|13.45|14.05
"117021000"|"Serviços de fornecimento de infraestrutura de acesso (backbone) à rede mundial de computadores"|13.45|14.05
"117022100"|"Serviços de acesso à rede mundial de computadores por conexão discada"|13.45|14.05
"117022200"|"Serviços de acesso à rede mundial de computadores por banda larga"|13.45|14.05
"117029000"|"Outros serviços na rede mundial de computadores"|13.45|14.05
"117031000"|"Serviços de oferta de livros, jornais, periódicos, diretórios e listas de postagem de acesso imediato (on-line)"|13.45|14.05
"117032000"|"Serviços de oferta de áudio, inclusive de conteúdo contínuo (streaming), de acesso imediato (on-line)"|13.45|14.05
"117033000"|"(streaming), de acesso imediato (on-line)"|13.45|14.05
"117034000"|"Serviços de oferta de conteúdos que combinem duas ou mais mídias de acesso imediato (on-line)"|13.45|14.05
"117035000"|"Serviços de conteúdo de portais de busca na rede mundial de computadores"|13.45|14.05
"117039000"|"Outros serviços de conteúdos de acesso imediato (on-line)"|13.45|14.05
"117041000"|"Serviços de agências de notícias para jornais e periódicos"|18.29|18.89
"117042000"|"Serviços de agências de notícias em mídia audiovisual"|18.29|18.89
"117049000"|"Outros serviços de agências de notícias"|18.29|18.89
"117051000"|"Serviços de biblioteca"|18.45|19.05
"117052000"|"Serviços de arquivamento"|18.45|19.05
"117061100"|"Serviços de difusão de programas originais de rádio"|13.45|14.05
"117061210"|"Serviços de difusão de programas originais para televisão aberta"|13.45|14.05
"117061220"|"Serviços de difusão de programas originais para televisão por assinatura"|13.45|14.05
"117062100"|"Serviços de programação dos canais de rádio"|13.45|14.05
"117062200"|"Serviços de programação dos canais de televisão"|13.45|14.05
"117063000"|"Serviços de distribuição de sinais de rádio e televisão"|13.45|14.05
"117064000"|"Serviços de distribuição de programas de televisão aberta"|13.45|14.05
"118011000"|"Serviços de busca de empregos e encaminhamento de pessoal"|18.26|18.86
"118012100"|"Serviços de fornecimento de mão de obra efetiva"|16.94|17.54
"118012200"|"Serviços de fornecimento de mão de obra temporária"|16.94|17.54
"118019000"|"Outros serviços de recrutamento e seleção de pessoal"|16.94|17.54
"118021000"|"Serviços de investigação"|18.45|19.05
"118022000"|"Serviços de consultoria em segurança"|18.45|19.05
"118023000"|"Serviços de sistemas de segurança"|18.45|19.05
"118024000"|"Serviços de transporte de valores"|18.42|19.02
"118025000"|"Serviços de guarda e escolta armada"|16.76|17.36
"118029000"|"Outros serviços de segurança"|16.50|17.10
"118031000"|"Serviços de desinfecção e extermínio de pragas"|18.29|18.89
"118032000"|"Serviços gerais de limpeza"|17.65|18.25
"118033000"|"Serviços especializados de limpeza"|17.65|18.25
"118041100"|"Serviços de reservas em transportes aéreos"|18.45|19.05
"118041900"|"Outros serviços de planejamento e reserva em transportes"|18.45|19.05
"118042100"|"Serviços de reservas de hospedagem"|18.29|18.89
"118042200"|"Serviços de reservas em cruzeiros"|18.29|18.89
"118042300"|"Serviços de reservas de pacotes turísticos"|18.29|18.89
"118043000"|"Outros serviços de reservas"|18.29|18.89
"118044000"|"Serviços de operadoras de turismo"|18.29|18.89
"118045000"|"Serviços de guias turísticos"|18.29|18.89
"118046100"|"Serviços de promoção turística"|18.29|18.89
"118046200"|"Serviços de informação a visitantes"|18.29|18.89
"118051000"|"Serviços de informação cadastral para fins de crédito"|18.43|19.03
"118052000"|"Serviços de cobrança"|18.45|19.05
"118053100"|"Serviços de telemarketing, incluindo serviços de atendimento ao cliente"|13.45|14.05
"118053900"|"Outros serviços de apoio por meio de telefone"|13.45|14.05
"118054000"|"Serviços combinados de escritório e apoio administrativo"|18.45|19.05
"118055100"|"Serviços de fotocópia"|18.45|19.05
"118055200"|"Serviços de mala direta e elaboração de listas de endereços"|18.45|19.05
"118055300"|"Serviços de preparação de documentos e outros serviços especializados de apoio a escritórios"|18.45|19.05
"118056100"|"Serviços de assistência e organização de convenções"|18.45|19.05
"118056200"|"Serviços de assistência e organização de feiras de negócios"|18.45|19.05
"118056300"|"Serviços de exploração de centros de convenções, escritórios virtuais, estandes de qualquer natureza, auditórios e os demais assemelhados para realização de eventos ou negócios de qualquer natureza"|18.45|19.05
"118056900"|"Outros serviços de assistência e organização de feiras de negócios e convenções"|18.45|19.05
"118057000"|"Serviços de jardinagem"|17.96|18.56
"118059011"|"Serviços de leitura de medidores de eletricidade"|13.45|14.05
"118059012"|"Serviços de leitura de medidores de gás"|13.45|14.05
"118059013"|"Serviços de leitura de medidores de água"|13.45|14.05
"118059020"|"Serviços de agências de modelos"|17.85|18.45
"118059030"|"Serviços de distribuição e venda de bilhetes e demais produtos de loteria, cartões, pules ou cupons de apostas, sorteios, prêmios, inclusive os decorrentes de títulos de capitalização e congêneres."|18.34|18.94
"118059090"|"Outros serviços de apoio"|18.43|19.03
"119011000"|"Serviços de apoio à agricultura"|18.40|19.00
"119012000"|"Serviços de apoio à pecuária"|18.40|19.00
"119013000"|"Serviços de apoio à produção florestal (silvicultura)"|18.40|19.00
"119014000"|"Serviços de apoio à pesca"|18.40|19.00
"119015000"|"Serviços de apoio à aquicultura"|18.40|19.00
"119021000"|"Serviços de apoio à extração de petróleo e gás"|18.32|18.92
