"NBS"|"DESCRIÇÃO"|"AL_IBPT_NACIONAL"|"AL_IBPT_INTERNACIONAL"
"103013900"|"Outros fornecimentos de alimentação"|18.45|19.05
"103020000"|"Fornecimento de bebidas em bares, cervejarias e outros"|18.45|19.05
"103031100"|"Serviços de quarto ou de unidades de hospedagem para visitantes, com serviços diários de faxina"|18.45|19.05
"103031200"|"Serviços de quarto ou de unidades de hospedagem para visitantes, sem serviços diários de faxina"|18.45|19.05
"103031300"|"Serviços de quarto ou de unidades de hospedagem para visitantes, em propriedades partilhadas"|18.45|19.05
"103031400"|"Serviços de quarto ou de unidades de hospedagem para visitantes, em quartos de múltipla ocupação"|18.45|19.05
"103032000"|"Serviços de acampamentos turísticos (camping)"|18.29|18.89
"103039000"|"Outros serviços de hospedagem para visitantes"|18.29|18.89
"103041000"|"Serviços de quarto ou de unidades de hospedagem para estudantes em residências estudantis"|18.45|19.05
"103042000"|"Serviços de quarto ou de unidades de hospedagem para trabalhadores em hotéis ou campos, por pequenos períodos"|18.45|19.05
"103049000"|"Outros serviços de quarto ou de unidades de hospedagem"|18.45|19.05
"104011110"|"Serviços prestados única e exclusivamente por meio de ônibus"|16.06|16.66
"104011190"|"Serviços prestados por meio de outros veículos rodoviários"|16.06|16.66
"104011200"|"Serviços de transporte rodoviário de passageiros nas áreas metropolitanas"|16.06|16.66
"104011300"|"Serviços de transporte ferroviário      urbano,  inclusive  nas  áreas metropolitanas, de passageiros"|16.06|16.66
"104011400"|"Serviços de transporte metroviário (metrô) de passageiros"|16.06|16.66
"104011500"|"Serviços de transporte integrado       urbano,  inclusive  nas  áreas metropolitanas, de passageiros"|16.06|16.66
"104011600"|"Serviços de taxi"|16.06|16.66
"104011700"|"Serviço de aluguel de carros com motorista"|16.06|16.66
"104011910"|"Serviços de transporte escolar"|16.06|16.66
"104011990"|"Outros serviços terrestres de transporte de passageiros"|16.06|16.66
"104012100"|"Serviços de transporte por navegação interior de passageiros por embarcações para travessia"|16.06|16.66
"104012200"|"Serviços de transporte por navegação interior de passageiros por embarcações para cruzeiros"|16.06|16.66
"104012900"|"Outros serviços de transporte por navegação interior de passageiros"|16.06|16.66
"104019000"|"Outros serviços de transporte de passageiros em áreas urbanas, inclusive metropolitanas"|16.06|16.66
"104021100"|"Serviços de transporte rodoviário para passeios turísticos (sightseeing)"|16.06|16.66
"104021200"|"Serviços de transporte ferroviário para passeios turísticos (sightseeing)"|16.06|16.66
"104021300"|"Serviços de transporte aquaviário para passeios turísticos (sightseeing)"|16.06|16.66
"104021400"|"Serviços de transporte aéreo para passeios turísticos (sightseeing)"|16.06|16.66
"104021900"|"Outros serviços transporte para passeios turísticos (sightseeing)"|16.06|16.66
"104022100"|"Serviços de fretamento contínuo"|16.06|16.66
"104022200"|"Serviços de fretamento eventual ou turístico"|16.06|16.66
"104022900"|"Outros serviços de fretamento, exceto aéreo"|16.06|16.66
"104031110"|"Serviços prestados única e exclusivamente por meio de ônibus"|16.06|16.66
"104031190"|"Serviços prestados por meio de outros veículos rodoviários"|16.06|16.66
"104031200"|"Serviços de transporte ferroviário interestadual, inclusive interestadual semiurbano, de passageiros"|16.06|16.66
"104031900"|"Outros serviços terrestres de transporte interestadual, inclusive interestadual semiurbano, de passageiros não classificados em outra posição"|16.06|16.66
